CYYMMNUMB,EASTING,NORTHING,FAMILY,GENUS,SPECIES,AUTHOR,COLLECTOR,COLL_DATE1,YEAR,MONTH,COLL_DATE2,ALTITUDE,FOUND_ON,LITTER_NO,NO_SPEC,STAGE,COLL_ACRO,Column1,SP_STATUS,ISL_ABB,BROAD_LOC,LOCALITY (merged),MOD_LOC,LATIT,LONGIT,NZMS1_NO,METRIC_NO,NZAC_CODE,ECOL_DIST
120212990,2138633,5584925,Curculionidae,Anagotus,*cottieri,,C.E. Clarke,31/12/1944,1944,12,,1372,,,3,A,AMNZ,,,SO,,Bold Peak,,4451,16818,S122,E41,OL,51-07
120312990,2138633,5584925,Curculionidae,Anagotus,*cottieri,,C.E. Clarke,30/12/1944,1944,12,,1372,,,2,A,AMNZ,,,SO,,Bold Peak,,4451,16818,S122,E41,OL,51-07
006712990,2580286,6041322,Curculionidae,Anagotus,fairburnii,,E.S. Gourlay,13/01/1931,1931,1,17/01/1931,0,,,2,A,AMNZ,,,DURI,D'Urville I,D'Urville Island,,4050,17350,S010,P25,SD,39-04
007412990,2594555,6059678,Curculionidae,Anagotus,fairburnii,,E.S. Gourlay,14/01/1933,1933,1,,0,,,1,A,AMNZ,,,STI,Stephens I,Stephens Island,,4040,17400,S005,P25,SD,39-02
028012990,2260477,5570344,Curculionidae,Anagotus,graniger,,C.E. Clarke,21/10/1923,1923,10,,0,,,1,A,AMNZ,,,SO,,Ida Valley,,4502,16950,S134,H41,CO,67-04
028312990,2286063,5476746,Curculionidae,Anagotus,graniger,,no collector given,21/12/1924,1924,12,,0,,,1,A,AMNZ,,,SO,,Mt Maungatua,,4553,17007,S163,H44,DN,69-03
117312990,2138633,5584925,Curculionidae,Anagotus,hamiltoni,,C.E. Clarke,30/12/1944,1944,12,,1372,,,3,A,AMNZ,,,SO,,Bold Peak,,4451,16818,S122,E41,OL,51-07
118412990,2210772,5651676,Curculionidae,Anagotus,hamiltoni,,C.E. Clarke,6/01/1924,1924,1,,0,,,1,A,AMNZ,,,SO,,Mt Constitution,,4417,16915,S107,G38,OL,51-06
116812990,2190320,5634027,Curculionidae,Anagotus,hamiltoni,,C.E. Clarke,26/12/1923,1923,12,,1068,,,5,A,AMNZ,,,SO,,"Lake Wanaka, Minaret Peaks",Minaret Peaks,4426,16859,S107,F39,OL,66-02
117112990,2190320,5634027,Curculionidae,Anagotus,hamiltoni,,no collector given,26/12/1923,1923,12,,1068,,,4,A,AMNZ,,,SO,,"Lake Wanaka, Minaret Peaks",Minaret Peaks,4426,16859,S107,F39,OL,66-02
