Accession number ,SpeciesCode,GenusName,SpeciesName,"Species
Author&Date",location,AreaCode,Latitude,Longitude,CollectedBy,DateCollected1,DateCollected2,Site/altitude,"Collection
Method","Source/
Habitat/
host",Stage/sex,DeterminedBy,DateDetermined,StorageType,TypeStatus
LUNZ00001240,Collypenesi,Lyperobius,nesidiotes,"Kuschel, 1987","Snares Islands, Broughton Island",SN,-48.03,166.61,J.W. Early,30/11/1976,,,,Litter under Anistome acutifolia P76-24,Male,G. Kuschel,1984,Pinned,Paratype
LUNZ00001239,Collypesped,Lyperobius,spedenii,"Broun, 1917",Temple Peak Station ,OL,-44.78495,168.4148,C.J. Vink,26/02/2003,,1740 m,,On speargrass flower,,,,"On card, pinned",
LUNZ00001238,Collypesped,Lyperobius,spedenii,"Broun, 1917",Temple Peak Station ,OL,-44.78495,168.4148,C.J. Vink,27/02/2003,,1741 m,,On speargrass flower,,,,"On card, pinned",
LUNZ00001237,Collypesped,Lyperobius,spedenii,"Broun, 1917","The Remarkables, Tarn Basin, north of Lake Alta",CO,-45.05873,168.8028,J.S. Dugdale,,,1740-1980 m,,Aciphylla simplex,,R.C. Craw,1997,Pinned,
LUNZ00001236,Collypesped,Lyperobius,spedenii,"Broun, 1917","The Remarkables, Shadow Basin, Rastus Burn",OL,-45.05713,168.80603,J.W. Marris,11/05/1999,,,,Under rocks,,,,Pinned,
LUNZ00001235,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001234,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001233,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001232,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001231,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001210,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001209,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001208,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001207,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001206,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001205,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001204,Collypesped,Lyperobius,spedenii,"Broun, 1917",Rees Saddle,OL,-44.55115,168.56305,"R.M. Emberson, P. Syrett",26/12/1999,,1550-1650 m,,On Aciphylla kirkii,,,,Pinned,
LUNZ00001203,Collypetown,Lyperobius,townsendi,"Craw, 1999",Takitimu Mountains,SL,-45.74815,167.81698,J.I. Townsend,12/02/1963,,1219 m,,Anisotome sp.,Male,R.C. Craw,1997,Pinned,Paratype
LUNZ00001220,Collypehuds,Lyperobius,hudsoni,"Broun, 1914","The Remarkables, Rastus Burn",OL,-45.05529,168.80241,B. Brown,23/01/1995,,,Sweeping,,,,,Pinned,
LUNZ00001202,Collypehuds,Lyperobius,hudsoni,"Broun, 1914",Dingle Burn,OL,-44.2567,169.57891,B. Brown,13/11/1999,,1480 m,,,,,,Pinned,
LUNZ00001219,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876",Porters Pass,MC,-43.29555,171.74158,S.M. Pawson,1/03/2002,,,,Ex Aciphylla aurea,,,,Pinned,
LUNZ00001218,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876",Porters Pass,MC,-43.29555,171.74158,S.M. Pawson,1/03/2002,,,,Ex Aciphylla aurea,,,,Pinned,
LUNZ00001217,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876","Seaward Kaikoura Range, Kahutara Saddle",KA,-42.32129,173.43079,S.M. Pawson,1/04/2001,,,,Reared on aciphylla,Larva,S.M. Pawson,2002,"On card, pinned",
LUNZ00001216,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876",Camp Stream Saddle,MC,-43.12552,171.71,E.G. White,9/12/1968,,1463 m,,,,,,Pinned,
LUNZ00001201,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876","Craigieburn, Camp Stream",MC,-43.12961,171.70369,A. Watson,10/01/1973,,4000 m ,,Ex speargrass,,R.C. Craw,1997,Pinned,
LUNZ00001215,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876",Mount Binser ,NC,-43.02949,171.85865,R. Close,17/01/1976,,5000 m,,Feeding on Aciphylla Spaniard,,R.C. Craw,1997,Pinned,
LUNZ00001213,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876","Seaward Kaikoura Range, Kahutara Saddle",KA,-42.32129,173.43079,"R.M. Emerson, S.M. Pawson",19/04/2001,,,,Under Aciphylla aurea,,,,"On card, pinned",
LUNZ00001212,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876","Seaward Kaikoura Range, Kahutara Saddle",KA,-42.32129,173.43079,"R.M. Emerson, S.M. Pawson",19/04/2001,,,,Under Aciphylla aurea,,,,"On card, pinned",
LUNZ00001211,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876","Seaward Kaikoura Range, Kahutara Saddle",KA,-42.32129,173.43079,"R.M. Emerson, S.M. Pawson",19/04/2001,,,,Under Aciphylla aurea,,,,"On card, pinned",
LUNZ00001214,Collypehutt,Lyperobius,huttoni,"Pascoe, 1876","Seaward Kaikoura Range, Kahutara Saddle",KA,-42.32129,173.43079,"R.M. Emerson, S.M. Pawson",23/04/2001,,,,,,,,Pinned,
LUNZ00001250,Collypemont,Lyperobius,montanus,"Craw, 1999",Gertrude Valley,FD,-44.75056,168.02976,P.T. Townsend,6/02/1980,,1380 m,,,,R.C. Craw,1990,Pinned,Paratype
LUNZ00001249,Collypemont,Lyperobius,montanus,"Craw, 1999",Gertrude Valley,FD,-44.75056,168.02976,J.W. Early,6/02/1980,,1380 m,,Feeding on Celmisia leaves,,R.C. Craw,1990,Pinned,Paratype
LUNZ00001248,Collypemont,Lyperobius,montanus,"Craw, 1999",Gertrude Valley,FD,-44.75056,168.02976,J.W. Early,6/02/1980,,1380 m,,Feeding on Celmisia leaves,,R.C. Craw,1990,Pinned,Paratype
LUNZ00001247,Collypemont,Lyperobius,montanus,"Craw, 1999",Gertrude Valley,FD,-44.75056,168.02976,J.W. Early,6/02/1980,,1380 m,,Feeding on Celmisia leaves,,R.C. Craw,1990,Pinned,Paratype
LUNZ00001246,Collypemont,Lyperobius,montanus,"Craw, 1999",Gertrude Valley,FD,-44.75056,168.02976,J.W. Early,6/02/1980,,1380 m,,Feeding on Celmisia leaves,,R.C. Craw,1990,Pinned,Paratype
LUNZ00001245,Collypemont,Lyperobius,montanus,"Craw, 1999",Gertrude Valley,FD,-44.75056,168.02976,J.W. Early,6/02/1980,,1150 m,,Anistome sp.,,R.C. Craw,1990,Pinned,Paratype
LUNZ00001244,Collypemont,Lyperobius,montanus,"Craw, 1999",Gertrude Valley,FD,-44.75056,168.02976,R.M. Emberson,6/02/1980,,1360m,,Under rocks,,R.C. Craw,1990,Pinned,Paratype
LUNZ00001241,Collypemont,Lyperobius,montanus,"Craw, 1999","Gertrude Valley, Barrier Knob",FD,-44.74213,168.0203,"R.M. Emberson, P. Syrett",29/12/1984,,1645 m,,Under rocks,,R.C. Craw,1997,Pinned,
LUNZ00001227,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Borland Saddle,FD,-45.75046,167.38623,R.M. Emberson,2/02/1982,,1180 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001226,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Borland Saddle,FD,-45.75046,167.38623,R.M. Emberson,2/02/1982,,1180 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001225,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Borland Saddle,FD,-45.75046,167.38623,R.M. Emberson,2/02/1982,,1180 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001224,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Borland Saddle,FD,-45.75,167.38421,J.W. Early,2/02/1982,,1150 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001223,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Borland Saddle,FD,-45.75,167.38421,J.W. Early,2/02/1982,,1150 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001222,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Borland Saddle,FD,-45.75,167.38421,J.W. Early,2/02/1982,,1150 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001100,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",South Borland Valley bivouac,FD,-45.73669,167.41495,P.T. Syrett,2/02/1982,,730 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001221,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",South Borland Valley bivouac,FD,-45.73669,167.41495,P.T. Syrett,2/02/1982,,730 m,,On Anistome sp.,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001090,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Mount Burns,FD,-45.74709,167.40337,J.W. Early,3/02/1982,,1280 m,,On Aciphylla congesta,,R.C. Craw,1997,Pinned,
LUNZ00001099,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Mount Burns,FD,-45.74709,167.40337,R.M. Emberson,3/02/1982,,1150 m,,On Celmisia sessiliflora,,R.C. Craw,1997,Pinned,
LUNZ00001098,Collypecoxa,Lyperobius,coxalis,"Kuschel, 1987",Borland Saddle,FD,-45.75046,167.38623,C.A. Muir,2/02/1982,,1188 m ,,On mat plant,,G. Kuschel,1987,Pinned,Paratype
LUNZ00001097,Collypecupi,Lyperobius,cupiendus,"Broun, 1886","Carrick Range, Watts Rock",CO,-45.16423,169.07629,J.W. Early,5/02/1986,8/02/1986,1300 m,Yellow pan trap,In tussock grassland,,R.C. Craw,1997,Pinned,
