Institution,Barcode,Broun/label Number,Altitude,Location,NEIL_guess_coordinates,collection date,clean_date,year,Collector,Determinor,Determination,Accession Label,Taxa,Drawer Information,Type,Notes,neil_guess_accepted_name
,,,,,,,,,,,,,,,,,
ANIC,,,,"Three Kings Island, Great Island","-34.15959, 172.1393",Nov. 70,Nov-70,1970,G. Kuschel,G. Kuschel 1999,"Anagotus turbotti (Spiller, 1942)",,Anagotus turbotti,,,,Anagotus turbotti
ANIC,,,,"Three Kings Island, Great Island","-34.15959, 172.1393",Nov. 70,Nov-70,1970,G. Kuschel,G. Kuschel 1999,"Anagotus turbotti (Spiller, 1942)",,Anagotus turbotti,,,,Anagotus turbotti
ANIC,,,,Stephens Island,"-40.67069, 173.9983",15.9.16,15/09/1916,1916,,G. Kuschel 1999,"Anagotus stephenensis (Kuschel, 1982)",,Anagotus stephenensis,,,pink circle,Anagotus stephenensis
ANIC,,,,"Waikawa Bay, French Pass","-40.971328, 173.810148",6.x.66,6/10/1966,1966,JI Townsend,G. Kuschel 1999,"Angotus rugosus (Broun, 1883)",,Angotus rugosus,,,Coprosma repens at night,Angotus rugosus
ANIC,,,,"Waikawa Bay, French Pass","-40.971328, 173.810148",6.x.66,6/10/1966,1966,JI Townsend,G. Kuschel 1999,"Angotus rugosus (Broun, 1883)",,Angotus rugosus,,,Coprosma repens at night,Angotus rugosus
ANIC,,,4000ft,"Mount Arthur Tableland, Mount Peel, Balloon Hut","-41.169652, 172.621522",19. Jan 1943,19/01/1943,1943,CE Clarke,G. Kuschel 1999,"Anagotus peelensis (Marshall, 1937)",CE Clarke Exch.,Anagotus peelensis,,,,Anagotus peelensis
ANIC,,,"4,800ft","Mount Arthur Tableland, Mount Peel, Balloon Hut","-41.169652, 172.621522",31.01.1932,31/01/1932,1932,ES Gourlay,G. Kuschel 1999,"Anagotus peelensis (Marshall, 1937)",,Anagotus peelensis,,,"pink circle
*date was hard to read - could be 32 or 38",Anagotus peelensis
ANIC,,,1950m,"New Zealand, CO, Mount Pisa Summit","-44.87207, 169.19079",16-Feb-83,16/02/1983,1983,JC Watt,G. Kuschel 1999,"Anagotus latirostris (Broun, 1904)",,Anagotus latirostris,,,Under stones,Anagotus latirostris
ANIC,,,180m - 230m,"West Arm, Mica Burn","-45.49698, 167.23172",Jan-70,Jan-70,1970,J Dugdale,G. Kuschel 1999,Anagotus helmsi Sharp 1882,,Anagotus helmsi,,,"To light
Genitalia in vial",Anagotus helmsi
ANIC,,,,"Nelson, Seddonville","41.54978, 171.98848",8-Oct-69,8/10/1969,1969,JI Townsend,G. Kuschel 1999,Anagotus helmsi Sharp 1882,,Anagotus helmsi,,,At night,Anagotus helmsi
ANIC,,,4500',Remarkables,"-45.10541, 168.79105",7/02/1963,7/02/1963,1963,JI Townsend,G. Kuschel 1999,"Anagotus hamiltoni (Broun, 1913)",,Anagotus hamiltoni,,,,Anagotus hamiltoni
ANIC,,,4500',Remarkables,"-45.10541, 168.79105",7/02/1963,7/02/1963,1963,JI Townsend,G. Kuschel 1999,"Anagotus hamiltoni (Broun, 1913)",,Anagotus hamiltoni,,,,Anagotus hamiltoni
ANIC,,,5000',"Nelson, Mount Arthur","-41.169652, 172.621522",20-Nov-69,20/11/1969,1969,JI Townsend,G. Kuschel 1999,"Anagotus gourlayi (Brookes, 1932)",,Anagotus gourlayi,,,,Anagotus gourlayi
ANIC,,,1200m,"Nelson, Mount Arthur","-41.169652, 172.621522",13-Nov-69,13/11/1969,1969,JI Townsend,G. Kuschel 1999,"Anagotus gourlayi (Brookes, 1932)",,Anagotus gourlayi,,,,Anagotus gourlayi
ANIC,,,,"CL, Alderman Islands, Ruamahuanui Island","-36.95324, 176.09473",13-17 Nov 77,13/11/1972,1972,GW Ramsay,G. Kuschel 1999,"Anagotus fairburni (Brookes, 1932)",,Anagotus fairburni,,,,Anagotus fairburni
ANIC,,,,"CL, Alderman Islands, Ruamahuanui Island","-36.95324, 176.09473",13-17 Nov 77,13/11/1972,1972,GW Ramsay,G. Kuschel 1999,"Anagotus fairburni (Brookes, 1932)",,Anagotus fairburni,,,,Anagotus fairburni
ANIC,,,,"New Zealand, Cook Strait, D'Urville Island","-40.87348, 173.83062",14/01/1931,14/01/1931,1931,E Fairburn,R. Oberprieler 2005,Anagotus fairburni (Brookes),,Anagotus fairburni,,Paratype,Label: Phaeophanus fairburni Brookes,Anagotus fairburni
ANIC,,,,"New Zealand, Cook Strait, D'Urville Island","-40.87348, 173.83062",14/01/1931,14/01/1931,1931,E Fairburn,,,,Anagotus fairburni,,Paratype,"Label: Identified by//
Phoxoteles//
fairburni//
A. E. Brookes",Anagotus fairburni
ANIC,,,,"New Zealand, Cook Strait, D'Urville Island","-40.87348, 173.83062",14/01/1931,14/01/1931,1931,E Fairburn,,,,Anagotus fairburni,,Paratype,Destructive to growing flax (Phormium),Anagotus fairburni
ANIC,,,,Stephen's Island,"-40.67069, 173.9983",16.1.33,16/01/1933,1933,ES Gourlay,,,,Anagotus fairburni,,,"12
Phormium tenax",Anagotus fairburni
ANIC,,,5000',Mount Arthur,"-41.169652, 172.621522",4/02/1965,4/02/1965,1965,"JI Townsend, AK Walker",G. Kuschel 1999,"Anagotus carinirostris (Marshall, 1953)",,Anagotus carinirostris,,,,Anagotus carinirostris
ANIC,,,5000',Mount Arthur,"-41.169652, 172.621522",4/02/1965,4/02/1965,1965,"JI Townsend, AK Walker",G. Kuschel 1999,"Anagotus carinirostris (Marshall, 1953)",,Anagotus carinirostris,,,,Anagotus carinirostris
