Institution,Barcode,Specimen_Kind,Quantity,Order,Family,Collection_Name,Taxon_Name,Taxon_Note,NEIL_manuscript_name,Determiner,Determination_Date,Determination_Note,Type_Status,Country,New_Zealand_Area_Code,Locality,NEIL_guess_location,NEIL_guess_coordinates,NEIL_check_w_Rich,Altitude ,Day,Month,Year,2nd date,Collectors,Collector_No,Method,Habitat,Microhabitat,Collection_Event_Note,Verbatim_Geocoordinates ,Sex,Stages,copy to WORD,NEIL_Determination_INFO,NEIL_Drawer_INFO,Neil_Specimen_Note,Neil_Other
MONZ,temp_1,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,Mt. Arthur Ridge,,"-41.196912, 172.733788",,,1,3,1989,5/03/1989,M. J. Meads,M26/854007,,,,,,,Adult,,,,,
MONZ,temp_2,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,Mt. Arthur Ridge,,"-41.196912, 172.733788",,,1,3,1989,5/03/1989,M. J. Meads,M26/854007,,,,,,,Adult,,,,,
MONZ,temp_3,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,Mt. Arthur Ridge,,"-41.196912, 172.733788",,,1,3,1989,5/03/1989,M. J. Meads,M26/854007,,,,,,,Adult,,,,,
MONZ,temp_4,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,Mt. Arthur Ridge,,"-41.196912, 172.733788",,,1,3,1989,5/03/1989,M. J. Meads,M26/854007,,,,,,,Adult,,,,,
MONZ,temp_5,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,"Mt. Peel, Balloon Hut",,"-41.169652, 172.621522",,,25,11,1948,,R.R. Forster,,,,,,,,Adult,,,,,
MONZ,temp_6,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,"Mt. Peel, Balloon Hut",,"-41.169652, 172.621522",,,25,11,1948,,R.R. Forster,,,,,,,,Adult,,,,,
MONZ,temp_7,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,"Mt. Peel, Balloon Hut",,"-41.169652, 172.621522",,,25,11,1948,,R.R. Forster,,,,,,,,Adult,,,,,
MONZ,temp_8,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,"Mt. Peel, Balloon Hut",,"-41.169652, 172.621522",,,25,11,1948,,R.R. Forster,,,,,,,,Adult,,,,,
MONZ,temp_9,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,"Mt. Peel, Balloon Hut",,"-41.169652, 172.621522",,,25,11,1948,,R.R. Forster,,,,,,,,Adult,,,,,
MONZ,temp_10,Pinned,1,Coleoptera,Curculionidae,,"Anagotus oconnori Broun, 1910",,,,,Pparchus gourlayi,,New Zealand,NN,"Mt. Peel, Balloon Hut",,"-41.169652, 172.621522",,,25,11,1948,,R.R. Forster,,,,,,,,Adult,,,,,
