Institution,Barcode,Broun/label Number,Altitude,Location,NEIL_guess_coordinates,collection date,clean_date,year,Collector,Determinor,Determination,Accession Label,Taxa,Drawer Information,Type,Notes,neil_guess_accepted_name
NHMUK,NHMUK016119859,1414,,"Brothers Isles, New Zealand","-41.113923, 174.432678",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus rugosus,,Lectotype,,Anagotus rugosus
NHMUK,NHMUK016119860,2145,,Mokohinau,"-35.905606, 175.114431",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus similis,,"red circle ""Type""",,Anagotus rugosus
NHMUK,NHMUK016119861,2146,,Mount Egmont ,"-39.29624, 174.06382",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus lituratus,,"red circle ""Type""",Didn't photograph Broun number,Anagotus rugosus
NHMUK,NHMUK016119862,var. 2146,,Rotoiti ,,4.5.1915,4/05/1915,1915,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus lateralis,,,,Anagotus rugosus
NHMUK,NHMUK016119863,4206,,Stephens Isd. ,"-40.67069, 173.9983",15.9.1916,15/09/1916,1916,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus o'connori.,,,BMNH(E) #715822 Digitally scanned,Anagotus stephenensis
NHMUK,NHMUK016119864,4206,,Stephens Isd. ,"-40.67069, 173.9983",15.9.1916,15/09/1916,1916,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus o'connori.,,,,Anagotus stephenensis
NHMUK,NHMUK016119865,4207,,Stephens Isd. ,"-40.67069, 173.9983",17.9.1916,17/09/1916,1916,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus inornatus.,,Lecto-type,,Anagotus rugosus
NHMUK,NHMUK016119866,4207,,Stephens Isd. ,"-40.67069, 173.9983",17.9.1916,17/09/1916,1916,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaeophanus inornatus.,,,,Anagotus rugosus
NHMUK,NHMUK016119867,,,D'urville Isld. // Cook Strait.,"-40.835879, 173.872375",14.1.1931.,14/01/1931,1931,coll. // E.Fairburn. ,,,,Phaeophanus Fairburni // Brookes.,,Paratype.,Pres.by // mp.Inst Ent. // B.M. 1935-197.,Anagotus fairburni
NHMUK,NHMUK016119868,2908,,,,,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Sargon carinatus,,,Check location ,Sargon carinatus
NHMUK,NHMUK016119869,2908,,Wanganui.,"-39.936383, 175.042591",,,,Marshall.,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,Sargon carinatus,,BMNH(E) // 1237444,Sargon carinatus
NHMUK,NHMUK016119870,2908,,Mt. Quoin. ,"-41.000507, 175.242598",,,,H. Simmonds.,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,Sargon carinatus,,Antennae short,Sargon carinatus
NHMUK,NHMUK016119871,2909,,Mount Holdsworth,"-40.87348, 175.41686",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Sargon Hudsoni. ,,,BMNH(E) // 1237445,Sargon hudsoni
NHMUK,NHMUK016119872,3760,,Mt. Hutt. ,"-43.471246, 171.525035",15.2.1913,15/02/1913,1913,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Pparchus halli.,Pparchus halli.,Lecto-type,Female,Anagotus halli
NHMUK,NHMUK016119873,3760,,Mt. Hutt. ,"-43.471246, 171.525035",15.3.1913,15/03/1913,1913,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus halli
