Repository,NZAC_Accession_Number,Specimen_Kind,Quantity,Order,Family,Collection_Name,Taxon_Name,Taxon_Note,NEIL_manuscript_name,Determiner,Determination_Date,Determination_Note,Type_Status,Country,New_Zealand_Area_Code,Locality,NEIL_guess_location,NEIL_guess_coordinates,NEIL_check_w_Rich,Altitude ,Day,Month,Year,2nd date,Collectors,Collector_No,Method,Habitat,Microhabitat,Collection_Event_Note,Verbatim_Geocoordinates ,Sex,Stages,copy to WORD,NEIL_Determination_INFO,NEIL_Drawer_INFO,Neil_Specimen_Note,Neil_Other
NZAC,NZAC04128377,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128376,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128375,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128374,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128373,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128371,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128370,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128369,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128368,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128367,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island, Castaway Camp","Three Kings Islands, Great Island, Castaway Camp","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
