Catalogue number or Accession number,Classification,Storage Method,Field Coll Place Description,Field Coll Place,Field Coll Site,Label recorded latitude,Label recorded longitude ,Field Coll Site interrpretted latitude,Field Coll Site interrpretted longitude,Field Coll Date,Field Coll Person
2007.215.1262,Anagotus,Pinned,"Hawdon Valley, Arthurs Pass National Park, MC - found at base of tree in leaf litter",MC (Mid Canterbury)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Hawdon River; Canterbury Land District/New Zealand Land Districts,,,-42.941649,171.746497,4-Jan-84,Peter (P) McClelland
2007.215.1263,Anagotus,Pinned,"Arthurs Pass National Park, MC - found under a rotting log",MC (Mid Canterbury)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Trust/Poulter Hut; Canterbury Land District/New Zealand Land Districts,,,-42.85,171.84,4-Jan-84,Peter (P) McClelland
2007.215.1269,Anagotus,Pinned,"Hawdon River, MC - in beech leaf litter",NC (North Canterbury)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Hawdon River; Canterbury Land District/New Zealand Land Districts,,,-42.941649,171.746497,4-Mar-84,Peter (P) McClelland
2007.215.2104,Anagotus,Pinned,"Arthurs Pass, NC - found in forest litter",,,,,-42.943638,171.567092,4-Jan-84,P (P) McLelland
2007.215.1270,Anagotus/halli,Pinned,"Pass above Clarence Reserve, KA",,,,,-42.329822,173.42891,3-Dec-69,T (T) Whittaker
2007.215.1271,Anagotus/halli,Pinned,"Pass above Clarence Reserve, KA",,,,,-42.329822,173.42891,3-Dec-69,T (T) Whittaker
2007.215.1225,Anagotus/latirostris,Pinned,"Obelisk, Old Man Range, CO - stones",CO (Central Otago)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Obelisk; Otago Land District/New Zealand Land Districts,,,-45.32,169.2,28-Nov-06,Peter Malcolm (Peter) Johns; Renae E (Renae E) Pratt; Lorraine (Lorraine) Cook
2007.215.2401,Anagotus,Pinned,"Mount Pisa, Pisa Range, CO - under stones",CO (Central Otago)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Mount Pisa; Otago Land District/New Zealand Land Districts,,,-44.87,169.19,9-Jan-05,Peter Malcolm (Peter) Johns; Zoe (Zoe) Hill
2007.215.1226,Anagotus/latirostris,Pinned,"Obelisk, Old Man Range, CO - stones",CO (Central Otago)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Obelisk; Otago Land District/New Zealand Land Districts,,,-45.32,169.2,28-Nov-06,Peter Malcolm (Peter) Johns; Renae E (Renae E) Pratt; Lorraine (Lorraine) Cook
2007.215.2427,Anagotus/rugosus,Pinned,"Maud Island, SD - forest, at night",SD (Marlborough Sounds)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Maud Island; Marlborough Land District/New Zealand Land Districts,,,-41.02,173.9,02 Jun 1990-04 Jun 1990,Peter Malcolm (Peter) Johns
2007.215.1735,Anagotus/latirostris,Pinned,"Mount Luxmore, Fiordland National Park, FD - scree and P nivalis",FD (Fiordland)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Mount Luxmore; Southland Land District/New Zealand Land Districts,,,-45.39632,167.595935,5-Jan-73,Peter Malcolm (Peter) Johns
2007.215.1736,Anagotus/latirostris,Pinned,"Old Man Range, CO - rocks, in mat vegetation",,,,,-45.35504,169.210396,24-Oct-69,Peter Malcolm (Peter) Johns
2007.215.1737,Anagotus/latirostris,Pinned,"Old Man Range, CO - rocks, in mat vegetation",,,,,-45.35504,169.210396,24-Oct-69,Peter Malcolm (Peter) Johns
2007.215.1738,Anagotus/latirostris,Pinned,"Old Man Range, CO - rocks, in mat vegetation",,,,,-45.35504,169.210396,24-Oct-69,Peter Malcolm (Peter) Johns
