Accession number ,Genus,Species,Subspecies,Author,Collector,Collection date 1,Collection date 2,Collection method,Habitat,Label,Location,Region Code,Latitude (dd.ddddd),Longitude (dd.ddddd),Altitude (metres),Label map reference,Determiner,Date determined,Type status,Sex,Remark
LUNZ00013425,Anagotus,turbotti,,"(Spiller, 1942)",F. Brook,21-Mar-05,,,,,"Muriwhenua, Chicken Islands",ND,-35.88406,174.69749,,,det. S. E. Thorpe,2010,,,
LUNZ00013426,Anagotus,rugosus,,"(Broun, 1883)",F. Brook,22-Mar-05,,,Feeding on taupata at night,,"Pupuha, Chicken Islands",ND,-35.886442,174.702015,,,det. S. E. Thorpe,2010,,,
LUNZ00013427,Anagotus,rugosus,,"(Broun, 1883)",F. Brook,22-Mar-05,,,Feeding on taupata at night,,"Pupuha, Chicken Islands",ND,-35.886442,174.702015,,,det. S. E. Thorpe,2010,,,
LUNZ00013428,Anagotus,rugosus,,"(Broun, 1883)",M. Aviss,1997,,,On Coprosma lucida,,Te Kakaho Island,SD,-40.88977,174.10351,,,,,,,
LUNZ00013429,Anagotus,rugosus,,"(Broun, 1883)",M. Aviss,1997,,,On Coprosma lucida,,Te Kakaho Island,SD,-40.88977,174.10351,,,,,,,
LUNZ00013430,Anagotus,rugosus,,"(Broun, 1883)",D. Brown,,,,,,Chetwodes Is,SD,-40.890061,174.102745,,,,,,,"Handwritten question mark in red ink with arrow pointing to locality. Handwritten, red ink crossing out the typed ""//"" after locality, and question mark after."
LUNZ00013431,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013432,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013433,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013441,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
