institution_code,catalog_number,recorded_by,year,month,decimal_latitude,decimal_longitude,location,species,generic_name,specific_name,day,.val,.equ,.zer,.cap,.cen,.sea,.otl,.gbf,.inst,.summary
NZAC,NZAC04128377,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
NZAC,NZAC04128376,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128375,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128374,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128373,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128371,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128370,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128369,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128368,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128367,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island, Castaway Camp",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128366,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island, Castaway Camp",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128365,J McBurney,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island, Castaway Camp",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128364,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island, Castaway Camp",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128363,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island, Castaway Camp",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128362,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island, Castaway Camp",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128361,P Johns,1963,12,-34.15959,172.1393,"Three Kings Islands, Great Island, Northeast cliff face",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128360,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128359,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128358,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128357,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128356,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128355,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04128354,G Kuschel,1970,11,-34.15959,172.1393,"Three Kings Islands, Great Island",Anagotus species_k,Anagotus,species_k,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
